paper_title,pred_context,pred_interv,pred_outcome,gold_count,label,reason,model
RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADV,In situations with network constraints and process rigidities,adopting flexible manufacturing systems,enables suppliers to respond to changing customer demands,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on knowledge sharing and network resources, not flexible manufacturing systems.",LLama3.3-70B
RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADV,In the presence of causal ambiguity and lack of absorptive capacity,providing training and support to suppliers,improves knowledge transfer and replication,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on Toyota's knowledge sharing with suppliers as a source of competitive advantage, not on training and support to suppliers.",LLama3.3-70B
RELATIONSHIP MARKETING AND SUPPLIER LOGISTICS PERFORMANCE: AN EXTENSION OF THE K,In buyer-supplier relationships with high levels of supplier acquiescence,increasing supplier acquiescence,does not significantly impact supplier logistics performance,1,FP,"The intervention 'increasing supplier acquiescence' is not a management action but rather a condition being studied, and the paper examines the relationship between existing supplier acquiescence and performance, not an intervention to increase it.",LLama3.3-70B
STRATEGIC ALLIANCE SUCCESS FACTORS,In partnerships with unequal power distribution,fostering partner compatibility,improves cooperation and problem-solving ability,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on strategic alliance success factors rather than partnerships with unequal power distribution.",LLama3.3-70B
THE DETERMINANTS OF COMMITMENT IN THE DISTRIBUTOR–MANUFACTURER RELATIONSHIP,High-tech product market,Providing training and marketing assistance,Increases commitment and partnership performance,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on determinants of commitment in distributor-manufacturer relationships, not on training and marketing assistance as interventions.",LLama3.3-70B
THE EFFECTS OF PARTNER AND RELATIONSHIP CHARACTERISTICS ON ALLIANCE OUTCOMES,In the context of high asset specificity and behavioral uncertainty,choosing a partner with a good reputation,leads to enhanced performance,1,FP,"The extracted CIMO is not supported by the paper excerpt as it discusses reputation in alliances but doesn't mention high asset specificity, behavioral uncertainty, or choosing partners with good reputation leading to enhanced performance.",LLama3.3-70B
THE EFFECTS OF PARTNER AND RELATIONSHIP CHARACTERISTICS ON ALLIANCE OUTCOMES,In alliances with high levels of uncertainty,developing strategic similarities between partners,enhances alliance performance,1,FP,The extracted CIMO is not supported by the paper excerpt as it doesn't mention 'high levels of uncertainty' as a context or 'enhances alliance performance' as an outcome.,LLama3.3-70B
THE EFFECTS OF PARTNER AND RELATIONSHIP CHARACTERISTICS ON ALLIANCE OUTCOMES,In the context of interorganizational relationships,establishing a prior relationship with a partner,increases initial satisfaction,1,FP,The extracted CIMO is not supported by the paper excerpt as it discusses prior relationships in a different context than the extracted CIMO's focus on initial satisfaction.,LLama3.3-70B
THE PERILOUS EFFECTS OF CAPABILITY LOSS ON OUTSOURCING MANAGEMENT AND PERFORMANC,In buyer-supplier relationships with high switching costs,retaining key employees with critical skills,enhances outsourcing performance,1,FP,"The extracted CIMO introduces 'retaining key employees with critical skills' as an intervention, which is not mentioned or supported in the paper excerpt.",LLama3.3-70B
THE PERILOUS EFFECTS OF CAPABILITY LOSS ON OUTSOURCING MANAGEMENT AND PERFORMANC,In the presence of small numbers bargaining,maintaining internal operational capabilities,mitigates the risk of opportunistic behavior,1,FP,"The extracted CIMO's context 'small numbers bargaining' is not supported by the paper excerpt, which focuses on capability loss in outsourcing relationships.",LLama3.3-70B
THE RELATIONSHIP BETWEEN EDI AND SUPPLIER RELIABILITY,In buyer-supplier relationships with low trust and commitment,Sharing planned production and capacity information,enhances delivery performance,1,FP,"The extracted CIMO mentions 'sharing planned production and capacity information' as the intervention, but the paper focuses on EDI technology as the intervention, not just information sharing.",LLama3.3-70B
THE RELATIONSHIP BETWEEN EDI AND SUPPLIER RELIABILITY,In the presence of inaccurate demand forecasts and unstable production schedules,Sharing accurate and stable production schedules with suppliers,leads to better supplier performance and reliability,1,FP,"The extracted CIMO focuses on sharing production schedules, while the paper discusses EDI technology for purchase orders and information sharing, not production schedules.",LLama3.3-70B
TOWARDS AN UNDERSTANDING OF ATTRACTION IN BUYER–SUPPLIER RELATIONSHIPS,In buyer–supplier relationships,Institutionalizing relationships,affects internal perceptions of supply chain associates,2,FP,"The extracted CIMO's intervention 'Institutionalizing relationships' is not clearly supported as a management action in the paper excerpt, and the outcome 'affects internal perceptions of supply chain associates' is not explicitly mentioned or directly related to the paper's focus on attraction in buyer-supplier relationships.",LLama3.3-70B
TOWARDS AN UNDERSTANDING OF ATTRACTION IN BUYER–SUPPLIER RELATIONSHIPS,In buyer–supplier relationships with high asset specificity,Reducing switching costs,increases attraction,2,FP,"The extracted CIMO's intervention 'reducing switching costs' is not explicitly supported as a management action in the paper excerpt, and the relationship between context, intervention, and outcome is not clearly established in the text.",LLama3.3-70B
"UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUIT",Interorganizational relationships with high asset specificity,Choosing hierarchical governance,Enhances performance,2,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on comparing formal and relational contracts under different types of uncertainty, not hierarchical governance.",LLama3.3-70B
USING INFLUENCE STRATEGIES TO ADVANCE SUPPLIER DELIVERY FLEXIBILITY: THE MODERAT,High trust in suppliers,Using promise strategy,Enhances supplier delivery flexibility,1,FP,"The extracted CIMO contradicts the paper's findings, which state that promise strategy depresses supplier delivery flexibility under high shared vision, not enhances it.",LLama3.3-70B
USING INFLUENCE STRATEGIES TO ADVANCE SUPPLIER DELIVERY FLEXIBILITY: THE MODERAT,High trust in suppliers,Using information exchange strategy,Decreases supplier delivery flexibility,1,FP,"The extracted CIMO incorrectly states that information exchange decreases supplier delivery flexibility, while the paper shows it has a negative effect only under high trust, not in general.",LLama3.3-70B
WHEN DOES TRUST MATTER TO ALLIANCE PERFORMANCE?,High environmental uncertainty,Relying on trust in alliances,Decreases alliance performance,1,FP,"The extracted CIMO incorrectly states that trust decreases alliance performance under environmental uncertainty, while the paper actually shows that trust has a weaker positive effect under environmental uncertainty, not a negative effect.",LLama3.3-70B
"""BLACK-BOX"" AND ""GRAY-BOX"" SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTECEDE",We also assess the moderating role that firm size may play in the relationships we posit.,Our research framework relies primarily on the social network perspective (SNP) and using a sample of 157 firms we found support for many of the posited hypotheses.,"In order to enhance their product innovation capabilities and subsequently quality, many firms rely on their suppliers for product development contributions (Petersen et al., 2005; Tan, 2001).",1,FP,The extracted CIMO mixes research methodology with the actual C-I-O relationship being studied.,Rule-based
A BUYER'S PERSPECTIVE ON COLLABORATIVE VERSUS TRANSACTIONAL RELATIONSHIPS,"(2006) found that firms engaged in collaborative relationships achieved improved visibility, higher service levels, greater end-customer satisfaction, increased flexibility, and reduced cycle times.","Information sharing

While communication focuses more on the extent to which each party in the relationship is involved in joint participation through communication efforts, information sharing focuses more on the level of information that is actually communicated or shared.","When performance improves, satisfaction with the relationship is likely to increase (e.g., economic benefits lead to economic-based satisfaction).",1,FP,"The extracted CIMO's intervention (Information sharing) is not clearly supported as a management action in the paper, and the outcome contradicts the paper's focus on satisfaction with relationship and performance rather than satisfaction increasing when performance improves.",Rule-based
A BUYER'S PERSPECTIVE ON COLLABORATIVE VERSUS TRANSACTIONAL RELATIONSHIPS,Satisfaction will be higher in collaborative relationships than in transactional relationships.,"Kwon and Suh (2004) note that information sharing reduces uncertainty, thereby improving the level of trust between supply chain partners.","Kwon and Suh (2004) note that information sharing reduces uncertainty, thereby improving the level of trust between supply chain partners.",1,FP,"The extracted CIMO incorrectly uses information sharing as the intervention and trust as the outcome, while the paper focuses on comparing collaborative vs transactional relationships with satisfaction and performance as outcomes.",Rule-based
A COMPARATIVE LONGITUDINAL ANALYSIS OF THEORETICAL PERSPECTIVES OF INTERORGANIZA,"Because RSIs represent sunk, unredeployable assets in an exchange relationship, parties' RSIs reduce their motivation to behave opportunistically and the credibility of switching threats, which in turn minimizes the partner's need (and costs) to monitor performance or safeguard assets.","Using four years of longitudinal data $(N = 396)$ , the authors compare the relative efficacy of these four perspectives for driving exchange performance and provide empirical insights into the causal ordering among key interorganizational constructs.","2006), but because of higher levels of cooperation and reduced conflict, they can also improve innovation, expand markets, and reduce costs (Cannon and Homburg 2001; Rindfleisch and Moorman 2001).",1,FP,The extracted CIMO does not match any reference CIMO and contains elements not supported by the paper excerpt.,Rule-based
A COMPARATIVE LONGITUDINAL ANALYSIS OF THEORETICAL PERSPECTIVES OF INTERORGANIZA,"Second, in contrast to classical legal theory, which assumes that all transactions are discrete events, Macneil (1980) argues that transactions are immersed in the relationships that surround them, which may be described in terms of the relational norms of the exchange partners.","Using research from social psychology, sociology, and anthropology, social exchange theory provides a foundation for two prevalent marketing perspectives (Blau 1964; Cook and Emerson 1978).","Researchers agree that opportunism has a negative impact on interfirm performance because it significantly increases the ex post costs associated with monitoring performance and safeguarding investments (Gassenheimer, Davis, and Dahlstrom 1998; Heide and John 1990).",1,FP,The extracted CIMO does not match the reference CIMO and contains elements not supported by the paper excerpt.,Rule-based
A COMPARATIVE LONGITUDINAL ANALYSIS OF THEORETICAL PERSPECTIVES OF INTERORGANIZA,"In other words, relationalism plays a significant role in structuring economically efficient exchange relationships under conditions of uncertainty and ambiguity and therefore should lead to improved financial performance (Heide and John 1992).","Consistent with their relationship marketing focus, they argue that commitment is the critical precursor to improving financial performance, and commitment and trust are both important for building strong relationships.","In other words, relationalism plays a significant role in structuring economically efficient exchange relationships under conditions of uncertainty and ambiguity and therefore should lead to improved financial performance (Heide and John 1992).",1,FP,"The extracted CIMO incorrectly repeats the context as the outcome, and the intervention is not clearly supported by the paper excerpt.",Rule-based
A CONTINGENT THEORY OF SUPPLIER MANAGEMENT INITIATIVES: EFFECTS OF COMPETITIVE I,"Such a nuanced understanding of collaborative supplier management strategies provides clarity on the applicability and limitations of organization theoretic frameworks (e.g., TCE and RBV) in inter-organizational contexts.",Gatignon and Xuereb (1997) assessed competitive intensity using two items: (a) similarity across products and (b) extent of price competition.,,1,FP,The extracted CIMO is missing the Outcome dimension and the Intervention is not a management action but rather a research methodology description.,Rule-based
A HOLISTIC APPROACH TO NEW PRODUCT DEVELOPMENT: NEW INSIGHTS,"This technique has been found to be effective in reducing supply chain costs while simultaneously improving customer service, and it is blurring the distinction between manufacturing/assembly and outbound logistics.",,"They can also contribute to makeor-buy decisions as well as propose design alterations that reduce material, inventory holding, transportation and production costs; improve product quality; reduce time-to-market; and facilitate disassembly and recycling (Carter and Carter 1998; Dowlatshahi 1998).",2,FP,The extracted CIMO has no intervention specified and the context and outcome don't match any reference CIMOs.,Rule-based
A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER-SUPPLIER R,"# A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER–SUPPLIER RELATIONSHIPS

MARK VAN DE VIJVER, BART VOS AND HENK AKKERMANS Tilburg University

We contribute to the emerging literature on the role of socialization in developing buyer–supplier relationships.","# A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER–SUPPLIER RELATIONSHIPS

MARK VAN DE VIJVER, BART VOS AND HENK AKKERMANS Tilburg University

We contribute to the emerging literature on the role of socialization in developing buyer–supplier relationships.","Second, when a relationship is in a declining lifecycle phase, especially when one of the parties has strong doubts about the value of continued collaboration, socialization efforts may not contribute to improved communication performance.",1,FP,"The extracted CIMO incorrectly uses the entire paper title as both Context and Intervention, which is not a valid representation of the paper's content.",Rule-based
A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER-SUPPLIER R,"Our results show that, contrary to what has been suggested by other studies, socialization in buyer–supplier relationships does not invariably have a positive impact on communication quality.","Keywords: partnering; supplier management (relations); case studies; qualitative data analysis; socialization; communication; buyer–supplier relationships

# INTRODUCTION

Companies are increasingly developing collaborative relationships.","The mechanisms of socialization also enable organizations to develop relation-specific assets and, in addition, also enhance communication performance (Cousins and Menguc 2006).",1,FP,"The extracted CIMO incorrectly states that socialization does not have a positive impact on communication quality, while the paper actually presents both positive and negative effects depending on context.",Rule-based
ADAPTING WITHIN RELATIONSHIPS TO ADAPT TO MARKET-LED CHANGE: DOES RELATIONSHIP S,"Recent research on the appropriateness of relationships identifies two possible approaches—exit current relationships and seek out new more appropriate relationships, or invest further in current relationships (Achrol & Etzel, 2003; Heide & John, 1990; Stump & Heide, 1996).",They found that in mature markets (characterised by low munificence) integration goals (building coordinated relationships) were unrelated to performance.,,2,FP,"The extracted CIMO is incomplete as it lacks an outcome dimension, and the intervention is not clearly supported by the paper excerpt as a management action.",Rule-based
"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ","Previous research on alliances suggests that perhaps the most important factor in alliance success is previous alliance experience (Anand and Khanna, 2000).","In the area of alliances, Hewlett-Packard, Corning, and Coca-Cola have been described as firms that have been successful at developing and managing alliances (Alliance Analyst, 1996; Harbison and Pekar, 1998; Kale and Singh, 1999).",Their research shows that having such a mechanism (‘heavyweight teams’) leads to a significant reduction in the time and cost associated with developing new product designs.,1,FP,The extracted CIMO contains an outcome about 'heavyweight teams' that is not mentioned in the paper excerpt.,Rule-based
AN EMPIRICAL STUDY OF THE IMPACT OF E-BUSINESS TECHNOLOGIES ON ORGANIZATIONAL CO,"The result are products that are delivered quickly and reliably when and where they are needed, high responsiveness to short lead times, the elimination of the bullwhip effect, and improved firm performance (Lee et al., 1997).","We propose and test a model of the relationship between organizational use of e-business technologies, organizational collaboration, and performance, using empirical data.","Organizational collaboration and information sharing, in turn, are expected to improve organizational performance.",1,FP,"The extracted CIMO does not match the reference CIMO on Context, Intervention, and Outcome dimensions.",Rule-based
AN EMPIRICAL STUDY OF THE IMPACT OF E-BUSINESS TECHNOLOGIES ON ORGANIZATIONAL CO,"IT has been shown to decrease transaction costs, comprised of coordination costs, that include direct costs of integrated decisions (Nooteboom, 1992), and transaction risk, which is the risk of being exploited in the relationship (Clemons and Row, 1992; Clemons et al., 1993).",Today almost all organizations are in the process of adopting some type of e-business technology to streamline SCM activities.,"Research consistently supports the idea that integration between firms improves firm performance (Stevens, 1989; Lee et al., 1997; Metters, 1997; Narasimhan and Jayaram, 1998; Lummus et al., 1998; Anderson and Katz, 1998; Hines et al., 1998; Johnson, 1999; Frohlich and Westbrook, 2001).",1,FP,"The extracted CIMO's context focuses on IT decreasing transaction costs, which is not mentioned in the paper excerpt, and the outcome about integration improving firm performance is too general and not specific to the paper's findings on e-business technologies and collaboration.",Rule-based
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,"Not only is there (in Japan) a longer term relationship, but the quality of the relationship is more one of partnership .",This model is tested using secondary survey data.,Swink (1999) found a clearly positive effect of supplier influence on new product manufacturability (NPM).,1,FP,"The extracted CIMO's context mentions Japan and partnership relationships, which are not supported by the paper excerpt, and the intervention is about testing a model rather than supplier involvement in NPD.",Rule-based
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,"One indicator of the implementation of quality practices in the buyer–supplier relationship is the extent to which suppliers provide quality control information to their customers (Flynn et al., 1994).","Using secondary survey data from an NSF-sponsored research project (Flynn et al., 1999, 2000) for the US electronics industry, we empirically observe how supplier relationship variables are interrelated and under what conditions suppliers help or hinder product development projects.",We can interpret those results as the negative moderating effect of project innovativeness on the relationship between supplier capabilities and the level of supplier involvement in the NPD project.,1,FP,"The extracted CIMO does not match the reference CIMO on Context, Intervention, or Outcome dimensions.",Rule-based
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,"Song and Parry (1999) found that technical synergy leads to less technical proficiency under circumstances of high product innovativeness, and technical proficiency leads to less product competitive advantage when product innovativeness is high.",on the technical difficulty of the project indicates that involving current suppliers with a good quality control history is more beneficial in incremental than in breakthrough projects.,"Eisenhardt and Tabrizi (1995), studying computer companies in the US, Europe and Asia, found a negative interaction effect between early supplier involvement and predictability of the project design.",1,FP,The extracted CIMO contains elements from multiple studies and does not match the reference CIMO on any dimension.,Rule-based
ARCS OF INTEGRATION: AN INTERNATIONAL STUDY OF SUPPLY CHAIN STRATEGIES,The most successful manufacturers seem to be those that have carefully linked their internal processes to external suppliers and customers in unique supply chains.,Factor scores were saved from the principal component analysis for supplier and customer integration using the regression method.,"Similarly, we know little about the connections between supplier and customer integration and improved operations performance.",1,FP,"The intervention is not a management action but a statistical method (factor scores from PCA), which contradicts the paper's focus on supply chain integration strategies.",Rule-based
ARCS OF INTEGRATION: AN INTERNATIONAL STUDY OF SUPPLY CHAIN STRATEGIES,Integration in the supply chain.,Factor scores are the weighted averages of values on all the original variables using factor loadings as weightings.,Which types of integration lead to the greatest overall performance improvements?,1,FP,The intervention is not a management action but a statistical method (factor scores calculation).,Rule-based
BRIDGING TIES: A SOURCE OF FIRM HETEROGENEITY IN COMPETITIVE CAPABILITIES,In this paper we propose that a firm's embeddedness in a network of ties is an important source of variation in the acquisition of competitive capabilities.,Data were gathered using a mailed questionnaire.,"More recently, Best notes that geographical clusters have

the institutional capacity to continuously learn, adjust, and improve in economic performance.",1,FP,"The intervention is a data collection method, not a management action.",Rule-based
BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,We find that the commitment of the top management team is the most critical factor in explaining success with alliances.,Our research model will be tested on a sample of 189 Belgian companies using PLS.,"These learning mechanisms help the firm develop a superior knowledge on how alliances should be handled, which lead to a significantly better alliance outcome (e.g., Draulans et al., 2003; Heimeriks & Duysters, 2007; Ritter & Gemünden, 2004; Schreiner et al., 2009).",1,FP,"The extracted CIMO mixes research methodology (intervention) with findings (context and outcome), creating an incoherent C-I-O relationship.",Rule-based
BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,"These days firms are simultaneously engaged in multiple and diverse alliances with different partners (Wassmer, 2010).","By carefully learning how alliances should be handled, firms become more adept at it, developing an increased alliance capability.","Alliance management

The importance of having an alliance manager in place to increase the alliance performance has been introduced by Spekman, Isabella, MacAvoy, and Forbes (1996).",1,FP,"The intervention is not a clear management action but rather a description of a capability development process, and the outcome is too vague and not explicitly supported by the paper excerpt.",Rule-based
BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,"This study can be situated at this level, but it should be clear that an improvement of alliance capability helps in improving level 4 network management as well.","Therefore, we argue that firms with a higher level of alliance experience have developed more elaborate articulation, codification, sharing and internalization knowledge mechanisms which increase their alliance capability.","All four of the mentioned learning processes which lead to the development of alliance capability are quite costly (time and money-wise) to develop, execute and constantly improve.",1,FP,"The extracted CIMO's outcome focuses on the cost of learning processes, not alliance capability as in the reference.",Rule-based
BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,"Where one party exploits their power in the supply chain, suboptimal outcomes may occur; while withholding potential power is often likely to provide benefit to both parties (Maloni and Benton 2000).","Using empirical data collected from 111 UK purchasing executives, a structural equation model is used to test the theoretical framework.",Higher levels of socialization between team members facilitates the identification of innovative ways to reduce the supply chain cost of the products.,1,FP,"The extracted CIMO contains elements not supported by the paper excerpt, particularly the outcome about socialization facilitating identification of innovative ways to reduce supply chain costs.",Rule-based
BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,"The dynamics of these processes is explored in light of differentiated positions of relative power (dependence) in the relationship, and the associated outcomes.","Data analysis procedures, using structural equation modeling, are provided in the next section.",This sharing leads to better solutions to the cost reduction problem.,1,FP,"The extracted CIMO's intervention is not a management action but rather a data analysis procedure, and the outcome is not supported by the paper's content.",Rule-based
BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,"In the interorganizational relationship literature, power is an acknowledged but not often discussed parameter within the context of mutual relationship norms (Cannon, Achrol and Gundlach 2000).","Adopting these strategies can change the relative bargaining power of the relationship and enable a firm to gain more favorable exchange terms, or at least, coerce others to do what they would not otherwise do (Pfeffer 1981).",I was part of the customer’s product development team working to reduce and meet the target cost objectives.,1,FP,"The extracted CIMO's outcome is about cost reduction in product development, which is not supported by the paper excerpt.",Rule-based
CO-EVOLUTION OF TRUST AND DEPENDENCE IN CUSTOMER-SUPPLIER RELATIONSHIPS,"Introduction

Trust and dependence are elementary qualities in customer– supplier relationships of networked organizations.",The structured interviews with the representatives of the suppliers were carried out using the questionnaire.,"Instead, the level of mutual transaction specific investments was evaluated using a 5-item Likert scale, as these enhance the valuable resources of the relationship and increase the switching costs of the supplier.",1,FP,"The extracted CIMO's intervention is not a management action but rather a research method (structured interviews), and the outcome describes an evaluation method rather than a relationship performance outcome.",Rule-based
COLLABORATIVE NEW PRODUCT DEVELOPMENT ENVIRONMENTS: IMPLICATIONS FOR SUPPLY CHAI,"Integration in the context of SCM is defined as ‘‘interaction and collaboration between departments and organizations to achieve shared supply chain goals’’ (Cooper and Tracey 2005, p.","# Hypothesis Development

Figure 2 displays the path model eventually tested via structural equation modeling (SEM) employing LISRELs (manufactured by Scientific Software International, Inc., Lincolnwood, Illinois).",A collaborative NPD environment is also expected to have a positive comprehensive impact on supplier involvement.,2,FP,The extracted CIMO has an incoherent intervention that is not a management action but rather a description of a figure and methodology.,Rule-based
COLLABORATIVE NEW PRODUCT DEVELOPMENT ENVIRONMENTS: IMPLICATIONS FOR SUPPLY CHAI,"Also, capturing the perceptions from a supplier and a customer engaged in a business relationship via a survey is feasible only to a point.","# METHODOLOGY

The utilization of composite measures and classical path analysis using LISRELs is appropriate for testing the statistical significance and strengths of a priori specified structural relations (Mentzer, Flint and Kent 1999).","First, if H1 proves true, then the Collaborative NPD Environment variable is anticipated to have a positive indirect effect on the Supplier Involvement variable via the Manufacturing Involvement variable.",2,FP,The extracted CIMO is not supported by the paper excerpt as it mixes methodology with theoretical concepts and doesn't form a coherent C-I-O relationship.,Rule-based
"COOPERATION AMONG COMPANIES, UNIVERSITIES AND LOCAL GOVERNMENT IN A SWEDISH CONT","In the following, we first discuss the theoretical basis of our study, which focuses on the ARA model and theories of strategising and cooperation in a network context.","Method

A cooperative initiative in the form of Processum Biorefinery Initiative AB, a company owned by 14 cooperating companies, was chosen for examination using a qualitative case study approach.","Cooperative R&D may offer a way for companies to reduce risks and compensate for a lack of internal resources (Okamuro, 2007), reduce the risk associated with market introductions, or achieve cost reductions or quality improvements (Belderbos, Carree, & Lokshin, 2004).",1,FP,"The extracted CIMO has an incoherent relationship between context, intervention, and outcome, with 'Method' as intervention not being a clear management action.",Rule-based
CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,,"By using empirical evidence to reason that the requisite capabilities are effectual in nature, we question recent conceptual and anecdotal arguments that call for an adaptive approach (Day 2011).",,1,FP,"The extracted CIMO is missing a context and outcome, and the intervention is not a clear management action but rather a questioning of conceptual arguments.",Rule-based
CUSTOMER ORIENTATION FOR DECREASING TIME-TO-MARKET OF NEW PRODUCTS: IT IMPLEMENT,We assessed IT implementation by asking the respondents to indicate the presence of electronic transactions and communication in various forms between the supply chain partners as compared to industry average.,"Complementary assets

The most commonly reported objective of implementing customer orientation is to improve the efficiency of NPD (Sánchez & Pérez, 2003b), and a few empirical studies provide empirical evidence of such an effect.","Managing time may enable companies not only to reduce their costs but also to offer a broad

product range and upgrade the technology platform of their products.",2,FP,The extracted CIMO has incomplete and mismatched components compared to the reference and paper content.,Rule-based
CUSTOMER PARTICIPATION AND THE TRADE-OFF BETWEEN NEW PRODUCT INNOVATIVENESS AND ,Matched data collected from 143 customer–component manufacturer dyads indicate that CPI has a negative influence on innovativeness when downstream customer network connectivity is high but a positive effect when it is low.,Hypotheses are empirically tested using primary data collected from 142 matched original equipment manufacturer (OEM) customer–component manufacturer dyads.,"On the basis of these opposing arguments, we suggest the following nondirectional hypothesis:

$\mathrm { H _ { l a } }$ : Downstream customer network connectivity positively/ negatively moderates the effect of CPI on new product innovativeness.",1,FP,"The extracted CIMO describes the research methodology and hypothesis formulation rather than a complete CIMO with context, intervention, and outcome dimensions.",Rule-based
CUSTOMER PARTICIPATION AND THE TRADE-OFF BETWEEN NEW PRODUCT INNOVATIVENESS AND ,"In addition, CPC undermines new product speed to market when process interdependence is high.","Involving the OEM customer may prevent the development team from following existing development paths, which helps it discover novel linkages during the process.","Thus:

$\mathrm { H } _ { 2 \mathrm { a } }$ : Process interdependence positively moderates the effect of CPC on new product innovativeness.",1,FP,"The extracted CIMO's outcome is incomplete and doesn't match any reference CIMO, and the relationship between intervention and outcome is not clearly supported by the paper excerpt.",Rule-based
DECOMPOSING INFLUENCE STRATEGIES: ARGUMENT STRUCTURE AND DEPENDENCE AS DETERMINA,The model further predicts that coercive influence strategies (Promises and Threats) result in compliance only when target dependence levels are high.,"On the basis of a baseline eigenvalue of 1.0, we arrived at a six-factor solution using oblique rotation.",,1,FP,"The intervention is not a management action but a methodological approach (factor analysis), and the outcome is missing entirely.",Rule-based
DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,(1998) found that more than half of the respondents to their survey considered that their organizations had not been successful in implementing supply chain partnering; Spekman et al.,Data for the study were collected from 196 organizations and the measurement scales were tested and validated using structural equation modeling.,"SCM has been defined1 to explicitly recognize the strategic nature of coordination between trading partners and to explain the dual purpose of SCM: to improve the performance of an individual organiza-

tion, and to improve the performance of the entire supply chain.",1,FP,The extracted CIMO does not match any reference CIMO and the intervention is not a management action but rather a research methodology.,Rule-based
DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,"# Postponement

Postponement isdefined as thepractice of moving forward one or more operations oractivities (making,sourcingand delivering)to amuch later point in the supply chain.",(1998) found that more than half of the respondents to their survey considered that their organizations had not been successful in implementing supply chain partnering; Spekman et al.,"(2001) point out that the negative impact of the bullwhip effect on a supply chain can be reduced or eliminated by sharing

information with trading partners.",1,FP,The extracted CIMO contains mismatched elements from different parts of the paper and doesn't form a coherent C-I-O relationship.,Rule-based
DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,"The growth of mass customization and personalized service is leading to an era in which relationship management with customers is becoming crucial for corporate survival (Wines, 1996).","Operational measures for the constructs are then developed and tested empirically, using data collected from respondents to a survey.","In addition, an organization can reduce supply chain cost by keeping undifferentiated inventories (Lee and Billington, 1995; Van Hoek et al., 1999).",1,FP,The extracted CIMO does not match any reference CIMO and the intervention is not a clear management action but rather a research methodology.,Rule-based
DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AM,We theoretically develop the idea that—notwithstanding their tensions—strong ties complement bridging ties in enhancing alliance ambidexterity at the project level.,The motivations for forming such multifirm project alliances are therefore two-fold.,"Statistically, this represents a positive interaction effect.",3,FP,"The extracted CIMO has an incoherent relationship between intervention and outcome, and the intervention is not a clear management action but rather a statement about motivations.",Rule-based
DOES ADAPTATION PAY OFF ?,"However, adaptation is vital between a buyer and seller in order to make the relationship more productive.","Commitment shows the other party that the relationship is

worth investing in and therefore durable economic bonds may be created (Halle´n et al., 1991).",,1,FP,The extracted CIMO has an incomplete outcome and the intervention is not clearly defined as a management action.,Rule-based
